System Clock,Logical Clock,Action,Messages Remaining
19:59:16,2,0,26
19:59:17,9,0,42
19:59:18,10,0,52
19:59:19,20,0,69
19:59:20,24,0,93
19:59:21,26,0,114
19:59:22,34,0,134
19:59:23,36,0,161
19:59:24,37,0,189
19:59:25,38,0,209
19:59:26,42,0,236
19:59:27,55,0,258
19:59:28,59,0,276
19:59:29,60,0,289
19:59:30,65,0,303
19:59:31,67,0,323
19:59:32,73,0,338
19:59:33,74,0,364
19:59:34,75,0,386
19:59:35,78,0,406
19:59:36,82,0,431
19:59:37,83,0,450
19:59:38,84,0,467
19:59:39,86,0,480
19:59:40,90,0,497
19:59:41,94,0,512
19:59:42,99,0,535
19:59:43,103,0,554
19:59:44,105,0,577
19:59:45,110,0,596
19:59:46,123,0,611
19:59:47,124,0,626
19:59:48,125,0,642
19:59:49,127,0,652
19:59:50,135,0,674
19:59:51,140,0,695
19:59:52,148,0,713
19:59:53,149,0,727
19:59:54,153,0,744
19:59:55,159,0,764
19:59:56,170,0,782
19:59:57,179,0,798
19:59:58,182,0,818
19:59:59,190,0,836
20:00:00,204,0,855
20:00:01,206,0,872
20:00:02,220,0,890
20:00:03,221,0,905
20:00:04,228,0,915
20:00:05,237,0,930
20:00:06,238,0,945
20:00:07,252,0,962
20:00:08,279,0,976
20:00:09,283,0,995
20:00:10,299,0,1014
20:00:11,304,0,1032
20:00:12,308,0,1047
20:00:13,313,0,1064
20:00:14,315,0,1082
20:00:15,341,0,1096
20:00:16,343,0,1119
20:00:17,349,0,1138
20:00:18,352,0,1161
20:00:19,355,0,1187
20:00:20,357,0,1202
20:00:21,358,0,1221
20:00:22,365,0,1239
20:00:23,366,0,1260
20:00:24,369,0,1281
20:00:25,374,0,1302
20:00:26,385,0,1318
20:00:27,386,0,1336
20:00:28,391,0,1355
20:00:29,405,0,1380
20:00:30,414,0,1394
20:00:31,421,0,1416
20:00:32,423,0,1431
20:00:33,427,0,1460
20:00:34,435,0,1480
20:00:35,436,0,1491
20:00:36,440,0,1511
20:00:37,445,0,1537
20:00:38,446,0,1554
20:00:39,447,0,1569
20:00:40,448,0,1586
20:00:41,464,0,1602
20:00:42,465,0,1629
20:00:43,467,0,1649
20:00:44,471,0,1664
20:00:45,473,0,1684
