System Clock,Logical Clock,Action,Messages Remaining
21:13:27,1,3,0
21:13:27,2,4,0
21:13:27,4,0,0
21:13:28,5,6,0
21:13:28,8,0,2
21:13:28,9,0,1
21:13:29,10,0,0
21:13:29,11,8,0
21:13:29,16,0,0
21:13:30,17,4,0
21:13:30,20,0,1
21:13:30,21,0,0
21:13:31,25,0,0
21:13:31,26,0,0
21:13:31,28,0,1
21:13:32,29,0,1
21:13:32,30,0,0
21:13:32,34,0,1
21:13:33,35,0,1
21:13:33,36,0,1
21:13:33,37,0,1
21:13:34,40,0,0
21:13:34,43,0,0
21:13:34,47,0,0
21:13:35,49,0,1
21:13:35,50,0,1
21:13:35,51,0,2
21:13:36,52,0,1
21:13:36,53,0,2
21:13:36,56,0,2
21:13:37,57,0,2
21:13:37,59,0,1
21:13:37,61,0,2
21:13:38,64,0,2
21:13:38,65,0,1
21:13:38,66,0,2
21:13:39,69,0,1
21:13:39,71,0,1
21:13:39,75,0,1
21:13:40,76,0,1
21:13:40,77,0,1
21:13:40,80,0,0
21:13:41,81,6,0
21:13:41,82,1,0
21:13:41,83,7,0
21:13:42,88,0,0
21:13:42,92,0,0
21:13:42,94,0,0
21:13:43,95,4,0
21:13:43,98,0,0
21:13:43,101,0,0
21:13:44,103,0,0
21:13:44,104,0,0
21:13:44,106,0,0
21:13:45,108,0,0
21:13:45,111,0,0
21:13:45,112,0,1
21:13:46,113,0,0
21:13:46,114,9,0
21:13:46,119,0,0
21:13:47,120,0,0
21:13:47,122,0,1
21:13:47,123,0,1
21:13:48,124,0,1
21:13:48,126,0,2
21:13:48,128,0,2
21:13:49,129,0,2
21:13:49,130,0,2
21:13:49,133,0,1
21:13:50,134,0,1
21:13:50,137,0,0
21:13:50,142,0,0
21:13:51,143,8,0
21:13:51,145,0,1
21:13:51,147,0,1
21:13:52,148,0,1
21:13:52,149,0,0
21:13:52,154,0,0
21:13:53,156,0,0
21:13:53,158,0,0
21:13:53,159,8,0
21:13:54,160,8,0
21:13:54,163,0,0
21:13:54,164,4,0
21:13:55,165,6,0
21:13:55,166,8,0
21:13:55,172,0,0
21:13:56,173,1,0
21:13:56,176,0,0
21:13:56,178,0,2
21:13:57,179,0,2
21:13:57,180,0,2
21:13:57,181,0,1
21:13:58,183,0,0
21:13:58,184,3,0
21:13:58,185,6,0
21:13:59,186,7,0
21:13:59,194,0,1
21:13:59,195,0,0
21:14:00,198,0,0
21:14:00,199,3,0
21:14:00,200,10,0
21:14:01,201,8,0
21:14:01,206,0,2
21:14:01,207,0,2
21:14:02,208,0,2
21:14:02,209,0,3
21:14:02,210,0,4
21:14:03,211,0,3
21:14:03,213,0,3
21:14:03,214,0,2
21:14:04,215,0,1
21:14:04,218,0,0
21:14:04,226,0,0
21:14:05,227,3,0
21:14:05,228,5,0
21:14:05,229,2,0
21:14:06,230,2,0
21:14:06,236,0,0
21:14:06,238,0,1
21:14:07,239,0,0
21:14:07,240,6,0
21:14:07,244,0,0
21:14:08,245,5,0
21:14:08,249,0,0
21:14:08,250,0,0
21:14:09,252,0,0
21:14:09,255,0,0
21:14:09,256,3,0
21:14:10,257,0,0
21:14:10,260,0,0
21:14:10,261,6,0
21:14:11,262,2,0
21:14:11,263,9,0
21:14:11,266,0,0
21:14:12,267,10,0
21:14:12,273,0,0
21:14:12,274,0,1
21:14:13,275,0,2
21:14:13,276,0,1
21:14:13,277,0,1
21:14:14,281,0,0
21:14:14,284,0,1
21:14:14,285,0,0
21:14:15,289,0,0
21:14:15,290,7,0
21:14:15,293,0,0
21:14:16,294,0,0
21:14:16,297,0,0
21:14:16,298,6,0
21:14:17,299,7,0
21:14:17,300,1,0
21:14:17,304,0,0
21:14:18,305,8,0
21:14:18,306,10,0
21:14:18,309,0,0
21:14:19,310,0,0
21:14:19,315,0,0
21:14:19,317,0,0
21:14:20,318,6,0
21:14:20,320,0,0
21:14:20,321,4,0
21:14:21,324,0,0
21:14:21,325,7,0
21:14:21,328,0,1
21:14:22,329,0,1
21:14:22,331,0,2
21:14:22,332,0,1
21:14:23,333,0,0
21:14:23,338,0,0
21:14:23,340,0,1
21:14:24,341,0,0
21:14:24,344,0,1
21:14:24,345,0,0
21:14:25,346,0,0
21:14:25,347,4,0
21:14:25,348,9,0
21:14:26,354,0,1
21:14:26,355,0,0
21:14:26,356,9,0
21:14:27,358,0,0
21:14:27,362,0,0
21:14:27,363,8,0
21:14:28,364,0,0
21:14:28,365,7,0
21:14:28,370,0,1
21:14:29,371,0,0
21:14:29,375,0,0
21:14:29,376,6,0
21:14:30,377,0,0
21:14:30,378,3,0
21:14:30,379,7,0
21:14:31,380,2,0
21:14:31,381,4,0
21:14:31,382,1,0
21:14:32,383,10,0
21:14:32,392,0,0
21:14:32,394,0,0
21:14:33,395,0,0
21:14:33,397,0,0
21:14:33,399,0,0
21:14:34,400,0,0
21:14:34,401,6,0
21:14:34,406,0,0
21:14:35,407,8,0
21:14:35,410,0,1
21:14:35,411,0,1
21:14:36,412,0,1
21:14:36,414,0,0
21:14:36,417,0,0
21:14:37,420,0,0
21:14:37,422,0,0
21:14:37,424,0,0
21:14:38,427,0,0
21:14:38,428,0,0
21:14:38,429,1,0
21:14:39,432,0,1
21:14:39,433,0,0
21:14:39,434,1,0
21:14:40,435,8,0
21:14:40,440,0,0
21:14:40,441,2,0
21:14:41,442,6,0
21:14:41,447,0,1
21:14:41,448,0,0
21:14:42,450,0,0
21:14:42,451,5,0
21:14:42,454,0,0
21:14:43,455,10,0
21:14:43,456,6,0
21:14:43,457,9,0
21:14:44,462,0,0
21:14:44,463,0,1
21:14:44,464,0,2
21:14:45,465,0,2
21:14:45,467,0,2
21:14:45,469,0,2
21:14:46,470,0,2
21:14:46,472,0,1
21:14:46,473,0,1
21:14:47,475,0,0
