System Clock,Logical Clock,Action,Messages Remaining
21:09:28,1,2,0
21:09:28,2,10,0
21:09:29,3,5,0
21:09:29,4,5,0
21:09:29,5,9,0
21:09:29,6,10,0
21:09:30,7,6,0
21:09:30,11,0,0
21:09:30,12,7,0
21:09:30,13,9,0
21:09:31,14,0,0
21:09:31,15,8,0
21:09:31,16,7,0
21:09:31,17,0,0
21:09:32,22,0,0
21:09:32,23,8,0
21:09:32,24,0,0
21:09:32,26,0,0
21:09:33,27,0,1
21:09:33,28,0,1
21:09:33,29,0,0
21:09:33,32,0,0
21:09:34,33,4,0
21:09:34,35,0,0
21:09:34,36,0,0
21:09:34,37,7,0
21:09:35,39,0,0
21:09:35,40,6,0
21:09:35,41,3,0
21:09:35,42,1,0
21:09:36,43,5,0
21:09:36,47,0,0
21:09:36,49,0,0
21:09:36,50,0,0
21:09:37,51,5,0
21:09:37,52,10,0
21:09:37,53,10,0
21:09:37,54,0,0
21:09:38,55,1,0
21:09:38,56,5,0
21:09:38,60,0,0
21:09:38,62,0,0
21:09:39,64,0,0
21:09:39,65,0,0
21:09:39,66,6,0
21:09:39,67,5,0
21:09:40,68,2,0
21:09:40,69,0,0
21:09:40,73,0,0
21:09:40,74,0,0
21:09:41,75,0,0
21:09:41,76,6,0
21:09:41,79,0,0
21:09:41,80,3,0
21:09:42,81,5,0
21:09:42,82,6,0
21:09:42,83,0,0
21:09:42,84,6,0
21:09:43,85,0,0
21:09:43,86,3,0
21:09:43,87,7,0
21:09:43,88,4,0
21:09:44,89,7,0
21:09:44,90,5,0
21:09:44,91,1,0
21:09:44,92,1,0
21:09:45,93,9,0
21:09:45,101,0,0
21:09:45,102,9,0
21:09:45,103,0,0
21:09:46,104,7,0
21:09:46,105,6,0
21:09:46,106,0,1
21:09:46,108,0,0
21:09:47,109,6,0
21:09:47,110,5,0
21:09:47,115,0,0
21:09:47,116,2,0
21:09:48,117,0,0
21:09:48,118,8,0
21:09:48,119,2,0
21:09:48,120,1,0
21:09:49,121,1,0
21:09:49,122,7,0
21:09:49,127,0,0
21:09:49,128,9,0
21:09:50,129,8,0
21:09:50,130,0,0
21:09:50,131,0,1
21:09:50,132,0,1
21:09:51,134,0,1
21:09:51,135,0,0
21:09:51,136,5,0
21:09:51,140,0,0
21:09:52,142,0,0
21:09:52,143,1,0
21:09:52,144,4,0
21:09:52,145,6,0
21:09:53,147,0,1
21:09:53,148,0,1
21:09:53,149,0,0
21:09:53,150,0,0
21:09:54,151,0,1
21:09:54,154,0,0
21:09:54,155,7,0
21:09:54,156,5,0
21:09:55,157,0,0
21:09:55,161,0,0
21:09:55,162,6,0
21:09:55,163,1,0
21:09:56,164,5,0
21:09:56,165,0,0
21:09:56,166,2,0
21:09:56,167,10,0
21:09:57,168,8,0
21:09:57,169,2,0
21:09:57,170,7,0
21:09:57,176,0,0
21:09:58,177,2,0
21:09:58,178,9,0
21:09:58,179,3,0
21:09:58,180,8,0
21:09:59,181,9,0
21:09:59,182,4,0
21:09:59,183,0,0
21:09:59,184,5,0
21:10:00,185,4,0
21:10:00,186,0,0
21:10:00,187,4,0
21:10:00,194,0,0
21:10:01,195,2,0
21:10:01,196,0,0
21:10:01,198,0,1
21:10:01,199,0,0
21:10:02,202,0,0
21:10:02,203,4,0
21:10:02,204,0,0
21:10:02,206,0,0
21:10:03,207,5,0
21:10:03,208,0,0
21:10:03,209,7,0
21:10:03,212,0,0
21:10:04,214,0,0
21:10:04,215,0,0
21:10:04,216,0,0
21:10:04,217,4,0
21:10:05,218,7,0
21:10:05,219,1,0
21:10:05,220,9,0
21:10:05,221,3,0
21:10:06,222,8,0
21:10:06,223,6,0
21:10:06,224,6,0
21:10:06,225,4,0
21:10:07,231,0,1
21:10:07,232,0,0
21:10:07,233,10,0
21:10:07,234,4,0
21:10:08,235,5,0
21:10:08,236,6,0
21:10:08,237,8,0
21:10:08,238,2,0
21:10:09,239,6,0
21:10:09,240,4,0
21:10:09,241,5,0
21:10:09,242,3,0
21:10:10,243,1,0
21:10:10,244,3,0
21:10:10,245,4,0
21:10:10,246,2,0
21:10:11,252,0,0
21:10:11,253,10,0
21:10:11,254,0,0
21:10:11,255,6,0
21:10:12,256,9,0
21:10:12,257,5,0
21:10:12,258,5,0
21:10:12,266,0,0
21:10:13,268,0,0
21:10:13,269,3,0
21:10:13,270,1,0
21:10:13,271,4,0
21:10:14,272,8,0
21:10:14,273,1,0
21:10:14,274,9,0
21:10:14,275,2,0
21:10:15,280,0,0
21:10:15,281,1,0
21:10:15,282,6,0
21:10:15,283,4,0
21:10:16,284,1,0
21:10:16,285,1,0
21:10:16,286,1,0
21:10:16,287,8,0
21:10:17,288,9,0
21:10:17,289,2,0
21:10:17,290,0,0
21:10:17,296,0,0
21:10:18,297,0,0
21:10:18,299,0,0
21:10:18,300,7,0
21:10:18,301,6,0
21:10:19,302,8,0
21:10:19,303,0,0
21:10:19,304,1,0
21:10:19,305,3,0
21:10:20,306,7,0
21:10:20,307,9,0
21:10:20,308,5,0
21:10:20,309,1,0
21:10:21,310,0,0
21:10:21,311,3,0
21:10:21,312,0,0
21:10:21,313,3,0
21:10:22,314,0,0
21:10:22,315,4,0
21:10:22,316,5,0
21:10:22,317,4,0
21:10:23,327,0,0
21:10:23,328,8,0
21:10:23,329,3,0
21:10:23,330,0,0
21:10:24,331,5,0
21:10:24,332,6,0
21:10:24,336,0,1
21:10:24,337,0,0
21:10:25,338,7,0
21:10:25,339,7,0
21:10:25,342,0,0
21:10:25,344,0,0
21:10:26,345,9,0
21:10:26,346,10,0
21:10:26,347,0,0
21:10:26,348,1,0
21:10:27,349,5,0
21:10:27,350,7,0
21:10:27,354,0,0
21:10:27,355,7,0
21:10:28,356,7,0
21:10:28,357,2,0
21:10:28,358,9,0
21:10:28,362,0,0
21:10:29,363,1,0
21:10:29,364,10,0
21:10:29,367,0,0
21:10:29,368,0,0
21:10:30,369,7,0
21:10:30,371,0,0
21:10:30,372,0,0
21:10:30,373,5,0
21:10:31,374,5,0
21:10:31,375,7,0
21:10:31,379,0,0
21:10:31,380,10,0
21:10:32,381,10,0
21:10:32,382,5,0
21:10:32,383,10,0
21:10:32,384,7,0
21:10:33,385,7,0
21:10:33,386,7,0
21:10:33,391,0,0
21:10:33,392,4,0
21:10:34,393,1,0
21:10:34,394,0,0
21:10:34,395,5,0
21:10:34,396,0,0
21:10:35,397,8,0
21:10:35,398,0,0
21:10:35,403,0,0
21:10:35,404,3,0
21:10:36,405,8,0
21:10:36,407,0,0
21:10:36,408,8,0
21:10:36,409,5,0
21:10:37,411,0,1
21:10:37,412,0,0
21:10:37,413,8,0
21:10:37,414,3,0
21:10:38,415,6,0
21:10:38,416,5,0
21:10:38,417,0,0
21:10:38,418,5,0
21:10:39,423,0,1
21:10:39,424,0,0
21:10:39,425,0,1
21:10:39,426,0,0
21:10:40,430,0,0
21:10:40,431,4,0
21:10:40,433,0,0
21:10:40,434,5,0
21:10:41,435,0,1
21:10:41,436,0,0
21:10:41,439,0,0
21:10:41,440,3,0
21:10:42,441,5,0
21:10:42,442,8,0
21:10:42,444,0,0
21:10:42,445,3,0
21:10:43,446,7,0
21:10:43,447,6,0
21:10:43,448,7,0
21:10:43,449,0,0
21:10:44,453,0,0
21:10:44,454,0,0
21:10:44,455,6,0
21:10:44,456,10,0
21:10:45,457,10,0
21:10:45,458,0,0
21:10:45,459,0,0
21:10:45,460,4,0
21:10:46,466,0,0
21:10:46,467,2,0
21:10:46,468,1,0
21:10:46,469,10,0
21:10:47,471,0,0
21:10:47,472,3,0
21:10:47,474,0,0
21:10:47,475,10,0
21:10:48,476,4,0
21:10:48,479,0,0
21:10:48,480,3,0
21:10:48,481,0,0
21:10:49,482,3,0
21:10:49,483,7,0
21:10:49,484,2,0
21:10:49,485,1,0
21:10:50,486,2,0
21:10:50,487,8,0
21:10:50,488,2,0
21:10:50,491,0,0
21:10:51,492,9,0
21:10:51,493,0,0
21:10:51,494,3,0
21:10:51,495,3,0
21:10:52,501,0,0
21:10:52,502,7,0
21:10:52,505,0,0
21:10:52,506,10,0
21:10:53,508,0,0
21:10:53,509,1,0
21:10:53,510,0,0
21:10:53,511,10,0
21:10:54,512,0,0
21:10:54,513,9,0
21:10:54,516,0,0
21:10:54,518,0,0
21:10:55,519,5,0
21:10:55,520,6,0
21:10:55,521,7,0
21:10:55,522,6,0
21:10:56,523,8,0
21:10:56,524,2,0
21:10:56,525,4,0
21:10:56,526,6,0
21:10:57,527,1,0
21:10:57,529,0,0
21:10:57,530,0,1
21:10:57,534,0,0
21:10:58,535,9,0
21:10:58,536,6,0
